proper_id,proper_name,house_start_date,date_of_birth,gender,party
1564,Angela Smith,2005-05-05,1961-08-16,F,Labour
986,Ian Stewart (North Hertfordshire),1974-02-28,1935-08-10,M,Conservative
444,Ian Stewart (Eccles),1997-05-01,1950-08-28,M,Labour
564,John Smith (Monklands East),1970-06-18,1938-09-13,M,Labour
681,John Smith (Vale of Glamorgan),1989-05-04,1951-03-17,M,Labour
401,Mike Wood (Batley and Spen),1997-05-01,1946-03-03,M,Labour
4384,Mike Wood (Dudley South),2015-05-07,1976-03-17,M,Conservative
1037,Neil Carmichael (Kelvingrove),1962-11-22,1921-10-10,M,Labour
4104,Neil Carmichael (Stroud),2010-05-06,1961-04-15,M,Conservative
1586,Adam Afriyie,2005-05-05,1965-08-04,M,Conservative
1093,Adam Butler,1970-06-18,1931-10-11,M,Conservative
1522,Adam Holloway,2005-05-05,1965-07-29,M,Conservative
593,Adam Ingram,1987-06-11,1947-02-01,M,Labour
1401,Adam Price,2001-06-07,1968-09-23,M,Plaid Cymru
320,Adrian Bailey,2000-11-23,1945-12-11,M,Labour (Co-op)
1459,Adrian Flook,2001-06-07,1963-07-09,M,Conservative
237,Adrian Sanders,1997-05-01,1959-04-25,M,Liberal Democrat
3937,Aidan Burley,2010-05-06,1979-01-22,M,Conservative
1212,Alan Amos,1987-06-11,1952-11-10,M,Conservative
513,Alan Beith,1973-11-08,1943-04-20,M,Liberal Democrat
4470,Alan Brown,2015-05-07,1970-08-12,M,Scottish National Party
529,Alan Campbell,1997-05-01,1957-07-08,M,Labour
673,Alan Clark,1974-02-28,1928-04-13,M,Conservative
343,Alan Duncan,1992-04-09,1957-03-31,M,Conservative
827,Alan Fitch,1958-06-12,1915-03-10,M,Labour
981,Alan Glyn,1959-10-08,1918-09-26,M,Conservative
43,Alan Haselhurst,1970-06-18,1937-06-23,M,Conservative
544,Alan Howarth,1983-06-09,1944-06-11,M,Labour
32,Alan Hurst,1997-05-01,1945-09-02,M,Labour
376,Alan Johnson,1997-05-01,1950-05-17,M,Labour
169,Alan Keen,1992-04-09,1937-11-25,M,Labour (Co-op)
4484,Alan Mak,2015-05-07,1983-11-19,M,Conservative
361,Alan Meale,1987-06-11,1949-07-31,M,Labour
507,Alan Milburn,1992-04-09,1958-01-27,M,Labour
1385,Alan Reid,2001-06-07,1954-08-07,M,Liberal Democrat
365,Alan Simpson,1992-04-09,1948-09-20,M,Labour
569,Alan W. Williams,1964-10-15,1930-10-14,M,Labour
62,Alan Whitehead,1997-05-01,1950-09-15,M,Labour
536,Alan Williams,1987-06-11,1945-12-21,M,Labour
1596,Alasdair McDonnell,2005-05-05,1949-09-01,M,Social Democratic & Labour Party
604,Alasdair Morgan,1997-05-01,1945-04-21,M,Scottish National Party
670,Alastair Goodlad,1974-02-28,1943-07-04,M,Conservative
982,Albert Booth,1966-03-31,1928-05-28,M,Labour
789,Albert Costain,1959-10-08,1910-07-05,M,Conservative
1349,Albert McQuarrie,1979-05-03,1918-01-01,M,Conservative
1474,Albert Owen,2001-06-07,1959-08-10,M,Labour
1346,Albert Roberts,1951-10-25,1908-05-14,M,Labour
948,Albert Stallard,1970-06-18,1921-11-05,M,Labour
4439,Alberto Costa,2015-05-07,1971-11-13,M,Conservative
1071,Alec Jones,1967-03-09,1924-08-12,M,Labour
3997,Alec Shelbrooke,2010-05-06,1976-01-10,M,Conservative
966,Alec Woodall,1974-02-28,1918-09-20,M,Labour
1138,Alex Carlile,1983-06-09,1948-02-12,M,Liberal Democrat
4481,Alex Chalk,2015-05-07,1976-08-08,M,Conservative
4122,Alex Cunningham,2010-05-06,1955-05-01,M,Labour
811,Alex Eadie,1966-03-31,1920-06-23,M,Labour
983,Alex Fletcher,1973-11-08,1929-08-26,M,Conservative
1117,Alex Pollock,1948-11-25,1917-03-10,M,Conservative
577,Alex Salmond,1987-06-11,1954-12-31,M,Scottish National Party
1372,Alexander W. Lyon,1966-03-31,1931-10-15,M,Labour
1616,Alf Bates,1974-02-28,1944-06-08,M,Labour
805,Alf Dubs,1979-05-03,1932-12-05,M,Labour
1906,Alfred Morris,1964-10-15,1928-03-23,M,Labour
409,Alice Mahon,1987-06-11,1937-09-28,F,Labour
727,Alick Buchanan-Smith,1964-10-15,1932-04-08,M,Conservative
4083,Alison McGovern,2010-05-06,1980-12-30,F,Labour
1552,Alison Seabeck,2005-05-05,1954-01-20,F,Labour
4430,Alison Thewliss,2015-05-07,1982-09-13,F,Scottish National Party
1201,Alistair Burt,1983-06-09,1955-05-25,M,Conservative
1442,Alistair Carmichael,2001-06-07,1965-07-15,M,Liberal Democrat
596,Alistair Darling,1987-06-11,1953-11-28,M,Labour
715,Allan Roberts,1979-05-03,1943-10-28,M,Labour
557,Allan Rogers,1983-06-09,1932-10-24,M,Labour
1239,Allan Stewart,1979-05-03,1942-06-01,M,Conservative
663,Allen Adams,1979-05-03,1946-02-16,M,Labour
918,Allen McKay,1978-07-13,1927-02-05,M,Labour
4014,Alok Sharma,2010-05-06,1967-09-07,M,Conservative
4086,Alun Cairns,2010-05-06,1970-07-30,M,Conservative
562,Alun Michael,1987-06-11,1943-08-22,M,Labour (Co-op)
4454,Amanda Milling,2015-05-07,1975-03-12,F,Conservative
4372,Amanda Solloway,2015-05-07,1961-06-06,F,Conservative
3983,Amber Rudd,2010-05-06,1963-08-01,F,Conservative
3981,Anas Sarwar,2010-05-06,1983-03-14,M,Labour
4490,Andrea Jenkyns,2015-05-07,1974-06-16,F,Conservative
4117,Andrea Leadsom,2010-05-06,1963-05-13,F,Conservative
443,Andrew Bennett,1974-02-28,1939-03-09,M,Labour
3994,Andrew Bingham,2010-05-06,1962-06-23,M,Conservative
