proper_name,proper_id,crossing_one_date,crossing_one_from,crossing_one_to,crossing_two_date,crossing_two_from,crossing_two_to,crossing_three_date,crossing_three_from,crossing_three_to
Naz Shah,4409,2016-04-27,Labour,Independent,2016-07-05,Independent,Labour,,,
Simon Danczuk,4059,2015-12-28,Labour,Independent,,,,,,
Natalie McGarry,4428,2015-11-24,SNP,Independent,,,,,,
Michelle Thomson,4422,2015-09-29,SNP,Independent,,,,,,
Sir Malcolm Rifkind,1191,2015-02-23,Conservative,Independent,,,,,,
Jack Straw,463,2015-02-22,Labour,Independent,,,,,,
Mark Reckless,4049,2014-09-27,Conservative,UKIP,,,,,,
Douglas Carswell,1527,2014-08-28,Conservative,UKIP,,,,,,
Nigel Evans,474,2013-09-10,Conservative,Independent,2014-04-10,Independent,Conservative,,,
David Ward,3923,2013-07-19,Liberal Democrat,Independent,2013-09-19,Independent,Liberal Democrat,,,
Mike Hancock,59,2013-06-04,Liberal Democrat,Independent,,,,,,
Patrick Mercer,1435,2013-05-31,Conservative,Independent,,,,,,
Nadine Dorries,1481,2012-11-06,Conservative,Independent,2013-05-08,Independent,Conservative,,,
Eric Joyce,603,2012-02-23,Labour,Independent,,,,,,
Denis MacShane,393,2010-10-14,Labour,Independent,2012-07-05,Independent,Labour,2012-11-02,Labour,Independent
Eric Illsley,386,2010-05-19,Labour,Independent,,,,,,
"Sylvia, Lady Hermon",1437,2010-03-25,UUP,Independent,,,,,,
David Chaytor,440,2010-02-08,Labour,Independent,,,,,,
Elliot Morley,377,2010-02-08,Labour,Independent,,,,,,
Jim Devine,1599,2010-02-08,Labour,Independent,,,,,,
Iris Robinson,1456,2010-01-09,DUP,Independent,,,,,,
Bob Spink,1214,2008-03-12,Conservative,Independent,2008-04-22,Independent,UKIP,2009-03-30,UKIP,Independent
Derek Conway,1202,2008-01-29,Conservative,Independent,,,,,,
Robert Wareing,487,2007-11-01,Labour,Independent,,,,,,
Andrew Pelling,1505,2007-09-25,Conservative,Independent,,,,,,
Quentin Davies,346,2007-06-26,Conservative,Labour,,,,,,
